run,edge_head,patch_train,tta,postprocess,best_val_dice,kvasir_test_dice,kvasir_test_iou,external_dice
A0_baseline,False,False,False,False,0.9125642085075378,0.875688374042511,0.8053374917805195,0.8480183147321143
A1_edge,True,False,False,False,0.9144480538368225,0.892214075033553,0.8321338857989758,0.8669124559618941
A2_edge_patch,True,True,False,False,0.8904111766815186,0.8799215681292116,0.8140598715376108,0.8133765068863558
A3_edge_patch_tta_pp,True,True,True,True,0.8787635159492493,0.8502316823603141,0.7771967805550921,0.7967122968915626
